"Figure 5: For responding businesses that are continuing to trade, an average of 60% felt confident they had the financial resources available to continue operating throughout COVID-19",""
"UK, 23 March to 5 April 2020",""
"",""
"Notes","1. Final results, Wave 2 of the Office for National Statistics’ (ONS’) Business Impact of Coronavirus (COVID-19) Survey (BICS) that are continuing to trade (n = 4,650).
2. Real estate services, other services, and the mining and quarrying sector have been removed because of their low response rates, but their totals are included in “all industries”.
"
"Unit","%"
"",""
"Industry","Confident","Don't know yet","Not confident"
"Manufacturing","63.6","30.9","5.5"
"Water Supply Sewerage Waste Management And Remediation Activities","71.0","26.1","2.9"
"Construction","52.8","41.5","5.6"
"Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles","62.0","33.9","4.1"
"Accommodation And Food Service Activities","49.5","37.9","12.6"
"Transportation And Storage","57.4","37.3","5.3"
"Information And Communication","71.8","25.1","3.1"
"Professional Scientific And Technical Activities","60.4","35.3","4.2"
"Administrative And Support Service Activities","47.3","42.4","10.3"
"Education","70.3","26.2","3.6"
"Human Health And Social Work Activities","72.5","21.1","6.4"
"Arts Entertainment And Recreation","53.3","42.2","4.4"
"All Industries","60.4","33.9","5.7"
